titles,links,published
Now Add Endpoint Policies to Interface Endpoints for AWS Services,https://aws.amazon.com/about-aws/whats-new/2019/06/now-add-endpoint-policies-to-interface-endpoints-for-aws-services/,"Mon, 17 Jun 2019 20:56:23 +0000"
New Dynamic Vegetation System in Lumberyard Beta 1.19 – Available Now,https://aws.amazon.com/about-aws/whats-new/2019/06/lumberyard-beta-119-available-now/,"Tue, 18 Jun 2019 00:11:31 +0000"
AWS App Mesh Service Discovery with AWS Cloud Map generally available.,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-app-mesh-service-discovery-with-aws-cloud-map-generally-available/,"Fri, 14 Jun 2019 18:52:06 +0000"
"AWS CloudFormation updates for Amazon EC2, Amazon ECS, Amazon EFS, Amazon S3 and more",https://aws.amazon.com/about-aws/whats-new/2019/06/aws-cloudformation-updates-amazon-ec2-ecs-efs-s3-and-more/,"Fri, 14 Jun 2019 17:49:19 +0000"
Amazon MSK is Now Integrated with AWS CloudFormation and Terraform,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon_msk_is_now_integrated_with_aws_cloudformation_and_terraform/,"Fri, 14 Jun 2019 20:49:03 +0000"
AWS Client VPN now includes support for AWS CloudFormation,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-client-vpn-includes-support-for-aws-cloudformation/,"Fri, 14 Jun 2019 18:31:32 +0000"
AWS Amplify Console now supports AWS CloudFormation,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-amplify-console-supports-aws-cloudformation/,"Fri, 14 Jun 2019 17:56:47 +0000"
Amazon ElastiCache launches reader endpoints for Redis,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-elasticache-launches-reader-endpoint-for-redis/,"Thu, 13 Jun 2019 20:10:40 +0000"
Amazon RDS for Oracle now supports z1d instance types,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-rds-for-oracle-now-supports-z1d-instance-types/,"Thu, 13 Jun 2019 20:10:44 +0000"
"Announcing EMR Release 5.24.0: With performance improvements in Spark, new versions of Flink, Presto, and Hue, and enhanced CloudFormation support for EMR Instance Fleets",https://aws.amazon.com/about-aws/whats-new/2019/06/announcing-emr-release-5240-with-performance-improvements-in-spark-new-versions-of-flink-presto-Hue-and-cloudformation-support-for-launching-clusters-in-multiple-subnets-through-emr-instance-fleets/,"Wed, 12 Jun 2019 19:33:47 +0000"
Amazon MQ is Now Available in the Canada (Central) Region,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-mq-available-in-canada-central-region/,"Wed, 12 Jun 2019 20:19:52 +0000"
AWS Single Sign-On now makes it easy to access more business applications including Asana and Jamf,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-single-sign-on-access-business-applications-including-asana-and-jamf/,"Wed, 12 Jun 2019 17:41:07 +0000"
Network Load Balancer is Now Available in Asia Pacific (Osaka),https://aws.amazon.com/about-aws/whats-new/2019/06/network-load-balancer-now-available-asia-pacific-osaka/,"Wed, 12 Jun 2019 20:43:12 +0000"
Amazon Rekognition Now Available in Four Additional AWS Regions,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-rekognition-available-four-additional-aws-regions/,"Wed, 12 Jun 2019 20:46:26 +0000"
Amazon FSx for Windows File Server is Now Available in the Europe (Frankfurt) Region,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-fsx-for-windows-file-server-is-now-available-in-frankfurt/,"Wed, 12 Jun 2019 20:28:24 +0000"
Amazon FSx for Lustre is Now Available in the Europe (Frankfurt) Region,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-fsx-for-lustre-is-now-available-in-frankfurt/,"Wed, 12 Jun 2019 20:31:30 +0000"
"Amazon QuickSight launches multi-sheet dashboards, new visual types and more",https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-quickSight-launches-multi-sheet-dashboards-new-visual-types-and-more/,"Wed, 12 Jun 2019 16:18:12 +0000"
Amazon Elastic File System is Available in the AWS Europe (Paris) Region,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-efs-is-available-in-the-aws-europe-paris-region/,"Wed, 12 Jun 2019 20:49:46 +0000"
Amazon Aurora with PostgreSQL Compatibility Supports Cluster Cache Management,https://aws.amazon.com/about-aws/whats-new/2019/06/amazon-aurora-with-postgresql-compatibility-supports-cluster-cache-management/,"Wed, 12 Jun 2019 00:03:34 +0000"
