titles,links,published
"Application Insights connector will retire on June 30,2019",https://azure.microsoft.com/en-in/updates/application-insights-connector-will-retire-on-june-30-2019/,"Mon, 17 Jun 2019 19:57:10 Z"
Database engine auditing for Azure Database for MariaDB now in preview,https://azure.microsoft.com/en-in/updates/database-engine-auditing-for-azure-database-for-mariadb-now-in-preview/,"Mon, 17 Jun 2019 17:00:10 Z"
Database engine auditing for Azure Database for MySQL now in preview,https://azure.microsoft.com/en-in/updates/database-engine-auditing-for-azure-database-for-mysql-now-in-preview/,"Mon, 17 Jun 2019 17:00:09 Z"
Default backup retention period for DTU-based Azure SQL databases is changing soon,https://azure.microsoft.com/en-in/updates/default-backup-retention-period-for-dtu-based-azure-sql-databases-is-changing-soon/,"Fri, 14 Jun 2019 17:00:23 Z"
Security Center recommendations and their corresponding policy names are aligned,https://azure.microsoft.com/en-in/updates/the-recommendation-and-their-corresponding-security-policy-names-have-been-updated-to-be-the-same/,"Wed, 12 Jun 2019 21:59:40 Z"
Adaptive Network Hardening in Security Center - now generally available,https://azure.microsoft.com/en-in/updates/adaptive-network-hardening-now-generally-available/,"Wed, 12 Jun 2019 21:59:37 Z"
Improved integration of Azure Security Center with Azure Advisor is now available,https://azure.microsoft.com/en-in/updates/azure-security-center-improved-integration-with-azure-advisor-is-now-available/,"Wed, 12 Jun 2019 21:59:33 Z"
Azure SQL Database default configuration changing soon,https://azure.microsoft.com/en-in/updates/azure-sql-database-default-configuration-changing-soon/,"Wed, 12 Jun 2019 21:22:04 Z"
Azure DevTest Labs: PowerShell module to simplify management of labs,https://azure.microsoft.com/en-in/updates/azure-devtest-labs-powershell-module-to-simplify-management-of-labs/,"Wed, 12 Jun 2019 18:52:36 Z"
Dev/test pricing option for individual Visual Studio subscribers is now available for Azure SQL Database managed instance,https://azure.microsoft.com/en-in/updates/dev-test-pricing-options-now-available-in-azure-sql-db-managed-instance/,"Wed, 12 Jun 2019 17:00:07 Z"
General availability: 4 vCore Azure SQL Database managed instances on Gen5 hardware,https://azure.microsoft.com/en-in/updates/general-availability-4-vcore-azure-sql-database-managed-instances-on-gen5/,"Wed, 12 Jun 2019 17:00:06 Z"
Azure SQL Database managed instance now supports larger regional resource limitations,https://azure.microsoft.com/en-in/updates/azure-sql-database-managed-instance-now-supports-larger-regional-resource-limitations/,"Wed, 12 Jun 2019 17:00:03 Z"
Advanced Data Security available for SQL Server on Azure Virtual Machines,https://azure.microsoft.com/en-in/updates/advanced-data-security-available-for-sql-server-on-azure-virtual-machines/,"Wed, 12 Jun 2019 16:00:12 Z"
Enhanced experience for Azure Advisor security recommendations,https://azure.microsoft.com/en-in/updates/enhanced-experience-for-azure-advisor-security-recommendations/,"Wed, 12 Jun 2019 16:00:11 Z"
Azure Cosmos DB—Direct connectivity support for Java Async SDK is now in preview,https://azure.microsoft.com/en-in/updates/azure-cosmos-db-direct-connectivity-support-for-java-async-sdk-is-now-in-preview/,"Wed, 12 Jun 2019 16:00:10 Z"
Azure Database for PostgreSQL support for PostgreSQL 11 is now in preview,https://azure.microsoft.com/en-in/updates/azure-database-for-postgresql-support-for-postgresql-11-is-now-in-preview/,"Wed, 12 Jun 2019 16:00:09 Z"
Azure Database for MariaDB support for MariaDB 10.3 is now available,https://azure.microsoft.com/en-in/updates/azure-database-for-mariadb-support-for-mariadb-10-3-is-now-available/,"Wed, 12 Jun 2019 16:00:08 Z"
Intelligent Performance for Azure Database for MySQL is now in preview,https://azure.microsoft.com/en-in/updates/intelligent-performance-for-azure-database-for-mysql-is-now-in-preview/,"Wed, 12 Jun 2019 16:00:07 Z"
Intelligent Performance for Azure Database for MariaDB is now in preview,https://azure.microsoft.com/en-in/updates/intelligent-performance-for-azure-database-for-mariadb-is-now-in-preview/,"Wed, 12 Jun 2019 16:00:07 Z"
Azure Database for MariaDB read replica is in preview,https://azure.microsoft.com/en-in/updates/azure-database-for-mariadb-read-replica-is-in-preview/,"Wed, 12 Jun 2019 16:00:06 Z"
